LOCATION,RIVMILE,COLL_DATE,Replicate,MoYr,RM_MoYr_Rep,MACRO_GENSPECIES,INDIV
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Rheotanytarsus sp.,8
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Simulium sp.,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Synorthocladius sp.,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Tanytarsus sp.,7
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Thienemannimyia gr. spp.,11
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Tribelos sp.,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Tricorythodes sp.,15
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Undetermined Heptageniidae,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Undetermined Leptophlebiidae,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Ablabesmyia mallochi,2
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Acerpenna pygmaea,16
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Antocha sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Baetis flavistriga,2
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Baetis intercalaris,14
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Ceratopsyche morosa,3
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Cheumatopsyche sp.,7
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Chimarra aterrima?,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Cricotopus bicinctus,7
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Cricotopus trifascia gr.,4
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Cricotopus/Orthocladius Complex,8
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Dicrotendipes sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Hemerodromia sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Hydroptila sp.,42
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Iswaeon anoka,8
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Lepidostoma sp.,3
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Leucrocuta sp.,2
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Maccaffertium mediopunctatum,22
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Maccaffertium modestum,17
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Maccaffertium vicarium,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Microtendipes rydalensis gr.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Neureclipsis sp.,22
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Oxyethira sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Pentaneura sp.,8
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Physella sp.,2
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Plauditus sp.,18
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Polypedilum flavum,19
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Promoresia elegans,4
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Pseudocloeon sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Rheocricotopus sp.,2
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Rheotanytarsus sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Serratella deficiens,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Simulium sp.,4
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Synorthocladius sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Tanytarsus sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Thienemanniella sp.,1
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Thienemannimyia gr. spp.,3
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Tricorythodes sp.,10
REGI,2.7,8/13/2014,4,Aug-14,2.7-Aug 2014-4,Undetermined Heptageniidae,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Ablabesmyia mallochi,4
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Acerpenna pygmaea,14
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Acroneuria abnormis,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Agnetina capitata,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Caenis sp.,24
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Dicrotendipes sp.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Dineutus sp.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Dubiraphia sp.,3
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Heptagenia sp.,19
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Hydroptila sp.,12
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Labrundinia sp.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Maccaffertium modestum,11
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Macronychus glabratus,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Microtendipes rydalensis gr.,2
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Neureclipsis sp.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Pentaneura sp.,3
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Phaenopsectra sp.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Physella sp.,2
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Plauditus sp.,2
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Polypedilum fallax gr.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Polypedilum flavum,5
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Promoresia tardella,7
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Stenelmis sp.,14
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Tanytarsus sp.,7
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Thienemannimyia gr. spp.,1
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Tribelos sp.,6
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Tricorythodes sp.,10
REGI,2.8,8/13/2014,1,Aug-14,2.8-Aug 2014-1,Undetermined Turbellaria,2
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Acerpenna pygmaea,13
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Caenis sp.,39
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Dicrotendipes sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Heptagenia sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Labrundinia sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Leucrocuta sp.,2
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Maccaffertium mediopunctatum,13
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Maccaffertium modestum,9
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Maccaffertium vicarium,3
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Microtendipes pedellus gr.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Microtendipes rydalensis gr.,2
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Neotrichia sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Nilothauma sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Optioservus trivittatus,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Physella sp.,3
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Polycentropus sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Procloeon sp.,1
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Stenacron sp.,31
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Stenelmis sp.,10
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Tanytarsus sp.,4
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Tribelos/Endochironomus/Phaenopsectra Co,3
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Tricorythodes sp.,8
REGI,2.8,8/13/2014,2,Aug-14,2.8-Aug 2014-2,Undetermined Turbellaria,1
REGI,2.8,8/13/2014,3,Aug-14,2.8-Aug 2014-3,Ablabesmyia mallochi,2
REGI,2.8,8/13/2014,3,Aug-14,2.8-Aug 2014-3,Acerpenna pygmaea,7
